Date, Open, High, Low, Close, Volume
03/30/22, 389.55, 392.70, 378.625, 381.47, 4023301
03/29/22, 384.39, 396.50, 380.33, 391.82, 5880723
03/28/22, 375.23, 380.28, 366.73, 378.51, 4323435
03/25/22, 377.07, 377.64, 366.43, 373.85, 3575953
03/24/22, 379.76, 379.76, 368.90, 375.71, 3888461
03/23/22, 379.77, 382.46, 374.49, 374.49, 3728954
03/22/22, 371.14, 386.66, 366.76, 382.92, 4242762
03/21/22, 378.02, 381.82, 368.94, 374.59, 4866463
03/18/22, 372.00, 381.80, 368.47, 380.60, 8324825
03/17/22, 359.70, 373.31, 354.88, 371.40, 5818348
03/16/22, 348.20, 359.99, 343.06, 357.53, 6982469
03/15/22, 335.10, 345.36, 332.36, 343.75, 5460640
03/14/22, 338.72, 341.32, 329.82, 331.01, 5907817
03/11/22, 361.19, 363.36, 340.00, 340.32, 4819925
03/10/22, 356.20, 367.02, 353.30, 356.77, 4807767
03/09/22, 357.685, 364.14, 350.5089, 358.79, 6520186
03/08/22, 349.80, 358.86, 340.67, 341.76, 6428655
03/07/22, 360.41, 361.995, 350.20, 350.26, 5708383
03/04/22, 368.00, 374.8186, 357.17, 361.73, 5329180
03/03/22, 386.00, 386.12, 364.65, 368.07, 6076836
03/02/22, 388.93, 389.22, 375.21, 380.03, 5356809
03/01/22, 391.60, 395.00, 383.705, 386.24, 3290439
02/28/22, 387.33, 397.75, 382.13, 394.52, 5035046
02/25/22, 386.61, 391.29, 375.58, 390.80, 4841636
02/24/22, 355.09, 390.73, 354.72, 390.03, 7068724
02/23/22, 382.72, 386.00, 366.66, 367.46, 4614290
02/22/22, 388.95, 392.42, 373.02, 377.38, 6697515
02/18/22, 392.53, 402.87, 389.0466, 391.29, 6801668
02/17/22, 394.235, 399.11, 385.70, 386.67, 4669222
02/16/22, 401.53, 401.56, 390.3842, 398.08, 5277650
02/15/22, 403.79, 409.1619, 401.01, 407.46, 5395641
02/14/22, 387.59, 409.36, 386.891, 396.57, 7202155
02/11/22, 405.33, 411.6103, 387.65, 391.31, 7558939
02/10/22, 402.10, 408.00, 396.36, 406.27, 8452915
02/09/22, 408.65, 412.98, 398.79, 412.89, 7738227
02/08/22, 398.18, 406.61, 395.83, 403.53, 6818543
02/07/22, 410.17, 412.35, 393.55, 402.10, 8232859
02/04/22, 407.31, 412.77, 396.6391, 410.17, 7789798
02/03/22, 421.44, 429.26, 404.28, 405.60, 9905210
02/02/22, 448.25, 451.98, 426.48, 429.48, 14346010
02/01/22, 432.96, 458.48, 425.5401, 457.13, 22568100
01/31/22, 401.97, 427.70, 398.20, 427.14, 20047449
01/28/22, 386.76, 387.00, 372.08, 384.36, 11966610
01/27/22, 382.06, 394.80, 378.10, 386.70, 24324750
01/26/22, 378.27, 382.66, 356.62, 359.70, 12683980
01/25/22, 379.14, 387.71, 365.13, 366.42, 15145820
01/24/22, 383.91, 387.26, 351.46, 387.15, 32386779
01/21/22, 400.425, 409.1499, 379.99, 397.50, 58904273
01/20/22, 517.75, 526.64, 506.93, 508.25, 12658990
01/19/22, 515.00, 523.21, 510.51, 515.86, 4353508
